Causa - CID-BR-10,UF,Obitos
... 027 Toxoplasmose,RR,8
. 028-030 Helmintíases,RR,13
... 028 Esquistossomose,RR,0
... 029 Cisticercose,RR,0
... 030 Restante de helmintíases,RR,13
. 031 Restante algumas doenç infec e parasitárias,RR,2200
032-052 NEOPLASIAS,RR,2583
". 032 Neopl malig do lábio, cav oral e faringe",RR,84
. 033 Neoplasia maligna do esôfago,RR,66
. 034 Neoplasia maligna do estômago,RR,202
". 035 Neoplasia maligna do cólon,reto e ânus",RR,178
. 036 Neopl malig do fígado e vias bil intrahepát,RR,133
. 037 Neoplasia maligna do pâncreas,RR,90
. 038 Neoplasia maligna da laringe,RR,33
". 039 Neopl malig da traquéia,brônquios e pulmões",RR,257
. 040 Neoplasia maligna da pele,RR,15
. 041 Neoplasia maligna da mama,RR,211
. 042 Neoplasia maligna do colo do útero,RR,197
. 043 Neopl malig de corpo e partes n/esp útero,RR,34
. 044 Neoplasia maligna do ovário,RR,38
. 045 Neoplasia maligna da próstata,RR,180
. 046 Neoplasia maligna da bexiga,RR,30
". 047 Neopl malig mening,encéf e out partes SNC",RR,127
. 048 Linfoma não-Hodgkin,RR,49
. 049 Mieloma mult e neopl malig de plasmócitos,RR,30
. 050 Leucemia,RR,89
". 051 Neoplasias in situ, benig, comport incert",RR,57
. 052 Restante de neoplasias malignas,RR,483
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT,RR,102
. 053 Anemias,RR,62
". 054 Rest d sangue, org hemat e alg transt imunit",RR,40
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS",RR,1112
. 055 Diabetes mellitus,RR,772
. 056 Desnutrição,RR,203
". 057 Rest doenças endócr, nutricion e metabólicas",RR,137
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS,RR,52
. 058 Transt ment e comport uso subst psicoativas,RR,43
... 058.1 Trans ment e comport devid uso álcool,RR,33
. 059 Rest transtornos mentais e comportamentais,RR,9
060-063 DOENÇAS DO SISTEMA NERVOSO,RR,386
. 060 Meningite,RR,14
. 061 Doença de Alzheimer,RR,107
. 062 Epilepsia,RR,53
. 063 Restante das doenças do sistema nervoso,RR,212
064 DOENÇAS DOS OLHOS E ANEXOS,RR,0
065 DOENÇAS DO OUVIDO E DA APÓFISE MASTÓIDE,RR,9
066-072 DOENÇAS DO APARELHO CIRCULATÓRIO,RR,3847
. 066 Febre reumát aguda e doen reum crôn coração,RR,24
. 067 Doenças hipertensivas,RR,527
. 068 Doenças isquêmicas do coração,RR,1213
... 068.1 Infarto agudo do miocárdio,RR,1106
. 069 Outras doenças cardíacas,RR,673
. 070 Doenças cerebrovasculares,RR,1277
. 071 Aterosclerose,RR,5
. 072 Rest doenças do aparelho circulatório,RR,128
073-077 DOENÇAS DO APARELHO RESPIRATÓRIO,RR,1689
. 073 Influenza (gripe),RR,20
. 074 Pneumonia,RR,992
. 075 Out infec agudas das vias aéreas inferiores,RR,46
... 075.1 Bronquiolite,RR,13
. 076 Doenças crônicas das vias aéreas inferiores,RR,361
... 076.1 Asma,RR,36
. 077 Restante  doenças do aparelho respiratório,RR,270
078-082 DOENÇAS DO APARELHO DIGESTIVO,RR,845
". 078 Úlcera gástrica, duodenal e péptica",RR,61
. 079 Peritonite,RR,10
. 080 Doenças do fígado,RR,351
... 080.1 Doença alcoólica do fígado,RR,97
... 080.2 Fibrose e cirrose do fígado,RR,133
... 080.3 Outras doenças do fígado,RR,121
. 081 Colecistite,RR,32
. 082 Rest doenças do aparelho digestivo,RR,391
083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO,RR,118
084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO,RR,124
085-087 DOENÇAS DO APARELHO GENITURINÁRIO,RR,523
. 085 D glomerulares e d renais túbulo-interstic,RR,39
. 086 Insuficiência renal,RR,284
. 087 Rest doenças do aparelho geniturinário,RR,200
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO",RR,127
. 088 Gravidez que termina em aborto,RR,23
. 089 Outras causas obstétricas diretas,RR,48
. 090 Causas obstétricas indiretas,RR,47
. 091 Causa obstétrica não espec direta/indireta,RR,1
. 092 Causas maternas tardias e sequelas,RR,8
093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL,RR,626
. 093 Feto e recemnasc afet fat mat e compl grav,RR,108
. 094 Transt relac duração gestação e cresc fetal,RR,33
. 095 Traumatismo de parto,RR,2
. 096 Trans resp e cardiovas espec per perinatal,RR,300
. 097 Rest afec originadas no período perinatal,RR,183
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS",RR,329
. 098 Malformações congênitas do sistema nervoso,RR,51
. 099 Malf congênitas do aparelho circulatório,RR,141
". 100 Rest de malf cong, deform e anomal Cromoss",RR,137
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP",RR,713
. 101 Senilidade,RR,104
. 102 Morte sem assistência médica,RR,27
". 103 Rest sint, sin e ach anorm clín e laborat",RR,582
104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE,RR,3628
. 104 Acidentes de transporte,RR,886
. 105 Quedas,RR,165
. 106 Afogamento e submersões acidentais,RR,215
". 107 Exposição à fumaça, ao fogo e às chamas",RR,9
". 108 Envenen, intoxic por ou expos a subst nociv",RR,21
. 109 Lesões autoprovocadas voluntariamente,RR,341
. 110 Agressões,RR,1330
. 111 Eventos(fatos) cuja intenção é indeterminada,RR,339
. 112 Intervenções legais e operações de guerra,RR,21
. 113 Todas as outras causas externas,RR,301
001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS,PA,34065
. 001 Doenças infecciosas intestinais,PA,1182
... 003 Diarréia e gastroenterite orig infec pres,PA,829
... 004 Outras doenças infecciosas intestinais,PA,353
..... 004.1 Febres tifóide e paratifóide,PA,1
